iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
244,128,3,1,3584,128,3,2,147584,128,5,0,409728,560896
245,128,3,1,3584,256,5,2,819456,64,3,1,147520,970560
246,128,3,1,3584,256,1,0,33024,256,1,1,65792,102400
247,128,3,1,3584,128,3,0,147584,256,1,1,33024,184192
248,128,3,1,3584,128,3,0,147584,64,3,0,73792,224960
249,128,3,1,3584,256,1,0,33024,32,5,0,204832,241440
250,128,3,1,3584,64,3,1,73792,32,3,1,18464,95840
251,128,3,1,3584,256,5,2,819456,256,1,2,65792,888832
252,128,3,1,3584,64,3,0,73792,64,3,0,36928,114304
253,128,3,1,3584,64,1,1,8256,64,5,2,102464,114304
254,128,3,1,3584,64,1,2,8256,256,5,0,409856,421696
255,128,3,1,3584,32,3,1,36896,128,3,0,36992,77472
256,128,3,1,3584,64,1,1,8256,256,5,0,409856,421696
257,128,3,1,3584,256,1,0,33024,256,1,1,65792,102400
258,128,3,1,3584,128,1,0,16512,128,5,1,409728,429824
259,128,3,1,3584,64,5,2,204864,64,1,0,4160,212608
260,128,3,1,3584,256,1,2,33024,64,1,1,16448,53056
261,128,3,1,3584,128,5,1,409728,64,1,2,8256,421568
262,128,3,1,3584,128,1,2,16512,256,5,0,819456,839552
263,128,3,1,3584,256,1,2,33024,256,1,0,65792,102400
264,128,3,1,3584,256,1,2,33024,64,5,2,409664,446272
265,128,3,1,3584,64,5,2,204864,32,5,1,51232,259680
266,128,3,1,3584,16,1,1,2064,256,3,1,37120,42768
267,128,3,1,3584,128,1,2,16512,16,3,1,18448,38544
268,128,3,1,3584,128,5,2,409728,256,3,2,295168,708480
269,128,3,1,3584,256,1,2,33024,128,5,0,819328,855936
270,128,3,1,3584,256,3,1,295168,256,3,1,590080,888832
271,128,3,1,3584,16,3,0,18448,16,3,0,2320,24352
272,128,3,1,3584,64,3,0,73792,256,5,1,409856,487232
273,128,3,1,3584,16,1,0,2064,32,5,1,12832,18480
274,128,3,1,3584,128,3,1,147584,64,3,2,73792,224960
275,128,3,1,3584,256,1,1,33024,32,5,0,204832,241440
276,128,3,1,3584,64,1,2,8256,32,5,1,51232,63072
277,128,3,1,3584,128,1,2,16512,128,5,2,409728,429824
278,128,3,1,3584,128,1,2,16512,128,3,1,147584,167680
279,128,3,1,3584,64,1,0,8256,256,5,1,409856,421696
280,128,3,1,3584,32,5,0,102432,256,5,2,205056,311072
281,128,3,1,3584,256,3,1,295168,64,5,0,409664,708416
282,128,3,1,3584,64,3,2,73792,128,5,0,204928,282304
283,128,3,1,3584,64,1,2,8256,256,1,1,16640,28480
284,128,3,1,3584,16,3,2,18448,16,3,0,2320,24352
285,128,3,1,3584,256,5,1,819456,32,3,0,73760,896800
286,128,3,1,3584,256,5,2,819456,128,1,2,32896,855936
287,128,3,1,3584,128,5,0,409728,256,5,2,819456,1232768
288,128,3,1,3584,64,3,1,73792,16,3,1,9232,86608
289,128,3,1,3584,64,5,1,204864,64,5,2,102464,310912
290,128,3,1,3584,128,1,0,16512,256,3,2,295168,315264
291,128,3,1,3584,256,3,2,295168,256,5,1,1638656,1937408
292,128,3,1,3584,128,1,2,16512,128,3,1,147584,167680
293,128,3,1,3584,32,5,2,102432,16,5,2,12816,118832
294,128,3,1,3584,256,1,2,33024,64,5,1,409664,446272
295,128,3,1,3584,128,3,1,147584,256,1,0,33024,184192
296,128,3,1,3584,64,1,1,8256,64,3,2,36928,48768
297,128,3,1,3584,64,5,1,204864,16,5,2,25616,234064
298,128,3,1,3584,64,5,2,204864,64,5,0,102464,310912
299,128,3,1,3584,64,1,0,8256,64,5,1,102464,114304
300,128,3,1,3584,256,1,0,33024,256,3,2,590080,626688
301,128,3,1,3584,128,5,0,409728,64,5,1,204864,618176
302,128,3,1,3584,32,1,2,4128,256,5,0,205056,212768
303,128,3,1,3584,256,3,1,295168,128,5,2,819328,1118080
304,128,3,1,3584,128,1,1,16512,64,3,0,73792,93888
305,128,3,1,3584,16,1,1,2064,128,3,2,18560,24208
306,128,3,1,3584,256,5,0,819456,128,3,0,295040,1118080
307,128,3,1,3584,256,5,0,819456,64,5,2,409664,1232704
308,128,3,1,3584,256,1,2,33024,128,1,0,32896,69504
309,128,3,1,3584,128,3,2,147584,64,5,2,204864,356032
