iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
382,32,3,2,896,64,3,2,18496,128,3,1,73856,93248
383,256,3,2,7168,64,3,2,147520,64,3,2,36928,191616
384,64,3,2,1792,16,3,2,9232,256,3,1,37120,48144
385,256,5,1,19456,32,3,1,73760,256,3,2,73984,167200
386,256,3,2,7168,128,3,1,295040,256,3,2,295168,597376
387,256,3,2,7168,64,3,2,147520,128,3,2,73856,228544
388,256,3,2,7168,64,3,2,147520,256,3,0,147712,302400
389,128,3,2,3584,64,3,2,73792,128,3,0,73856,151232
390,32,1,1,128,128,3,2,36992,64,3,0,73792,110912
391,32,3,1,896,64,3,2,18496,32,3,2,18464,37856
392,256,3,1,7168,64,1,1,16448,64,5,2,102464,126080
393,128,1,1,512,256,5,1,819456,256,3,2,590080,1410048
394,128,5,1,9728,128,3,1,147584,256,3,2,295168,452480
395,64,3,2,1792,256,3,2,147712,128,3,2,295040,444544
396,64,3,1,1792,32,3,2,18464,128,3,1,36992,57248
397,256,3,2,7168,32,3,1,73760,128,3,2,36992,117920
398,256,3,2,7168,256,3,2,590080,128,3,1,295040,892288
399,128,3,2,3584,128,3,2,147584,256,3,2,295168,446336
400,128,3,2,3584,128,3,0,147584,256,3,2,295168,446336
401,32,3,1,896,256,3,1,73984,256,5,1,1638656,1713536
402,32,3,2,896,256,3,2,73984,32,1,2,8224,83104
403,128,3,1,3584,128,3,2,147584,256,3,2,295168,446336
404,32,3,1,896,256,3,1,73984,64,3,1,147520,222400
405,256,3,1,7168,64,3,2,147520,64,3,1,36928,191616
406,128,3,2,3584,128,3,2,147584,256,3,2,295168,446336
407,128,3,2,3584,256,3,0,295168,128,3,2,295040,593792
408,32,3,2,896,256,3,2,73984,256,3,2,590080,664960
409,64,3,2,1792,64,3,1,36928,32,3,2,18464,57184
410,64,3,1,1792,64,3,1,36928,256,3,2,147712,186432
411,32,3,2,896,128,3,2,36992,16,3,2,18448,56336
412,256,3,0,7168,128,3,1,295040,64,3,2,73792,376000
413,128,3,2,3584,128,3,1,147584,256,3,2,295168,446336
414,256,3,1,7168,128,3,2,295040,128,1,1,16512,318720
415,256,3,1,7168,256,3,2,590080,128,3,2,295040,892288
416,256,3,2,7168,256,3,2,590080,32,3,2,73760,671008
417,128,3,2,3584,128,3,1,147584,64,3,1,73792,224960
418,16,3,2,448,256,3,1,37120,64,3,2,147520,185088
419,256,3,2,7168,128,3,2,295040,256,3,1,295168,597376
